Order_ID,Order_Date,SKU,Product_Name,Category,Region,Store_Type,Units_Sold,Unit_Price,Discount,Revenue,Profit,Customer_Age,Gender,Payment_Method
101178,2024-09-21,AD-1877-D,Tiro 23 Track Pants,Apparel,Asia-Pacific,Online,5,49.68,0,248.4,70.4,35,Female,NetBanking
100865,2024-09-04,AD-1745-B,Essentials Tee,Apparel,Europe,Online,2,27.07,0,54.14,11.35,48,Female,NetBanking
100101,2024-09-24,AD-8110-A,Superstar,Footwear,Asia-Pacific,Online,3,96.58,20,231.79,61.86,34,Male,Debit Card
100439,2024-01-03,AD-4892-C,Performance Socks (3-pack),Accessories,Latin America,Retail,5,17.49,10,78.7,35.99,30,Female,Apple Pay
100058,2023-10-07,AD-8657-B,Originals Backpack,Accessories,Europe,Retail,3,58.96,5,168.04,68.38,30,Female,PayPal
101120,2024-10-30,AD-5267-A,Adicolor Hoodie,Apparel,Europe,Online,1,72.5,5,68.88,16.65,32,Female,Apple Pay
100323,2023-05-03,AD-3735-C,Ultraboost 22,Footwear,Asia-Pacific,Online,4,182.16,0,728.64,227.81,29,Female,NetBanking
100974,2023-12-23,AD-7305-C,Originals Backpack,Accessories,Middle East & Africa,Retail,3,57.19,0,171.57,52.43,49,Female,Debit Card
100411,2023-10-30,AD-4842-A,Copa Sense,Footwear,Europe,Online,3,152.09,10,410.64,93.96,27,Female,Cash
100855,2023-05-04,AD-2386-C,Sports Bottle,Accessories,North America,Retail,1,15.26,20,12.21,3.82,33,Male,Google Pay
100820,2023-12-19,AD-3148-C,Performance Socks (3-pack),Accessories,North America,Outlet,1,18.61,20,14.89,6.07,25,Male,Google Pay
100044,2024-06-16,AD-2146-C,Sports Bottle,Accessories,Middle East & Africa,Retail,1,14.47,0,14.47,3.08,34,Male,Apple Pay
100049,2023-04-06,AD-8784-A,Adicolor Hoodie,Apparel,North America,Online,2,64.26,0,128.52,48.57,18,Male,UPI
100849,2023-07-07,AD-6074-D,Training Cap,Accessories,Europe,Online,5,21.03,10,94.64,38.46,39,Male,Google Pay
100240,2024-03-25,AD-4836-C,Adicolor Hoodie,Apparel,Asia-Pacific,Retail,2,64.45,0,128.9,40.96,42,Male,NetBanking
100170,2024-10-09,AD-4941-D,Gym Bag,Accessories,Asia-Pacific,Online,4,44.19,0,176.76,58.37,36,Male,Cash
100523,2024-06-20,AD-6044-C,Sports Bottle,Accessories,Europe,Retail,4,13.98,5,53.12,18.21,51,Female,Google Pay
100765,2025-07-07,AD-4867-A,Training Shorts,Apparel,Latin America,Online,3,31.0,0,93.0,32.93,21,Female,PayPal
100838,2024-06-07,AD-4954-C,Sports Bottle,Accessories,Europe,Retail,2,15.85,5,30.11,12.0,35,Male,NetBanking
100423,2024-07-17,AD-2442-D,Primegreen Jacket,Apparel,North America,Retail,5,150.73,5,715.97,194.99,42,Female,Google Pay
100380,2025-05-13,AD-8259-C,Training Cap,Accessories,Asia-Pacific,Wholesale,2,19.09,0,38.18,15.81,30,Male,NetBanking
100609,2024-08-01,AD-2084-B,Z.N.E. Hoodie,Apparel,North America,Retail,6,129.95,0,779.7,212.91,32,Male,Cash
